strain	rpoB	gyrA	recA	dnaK	cps_K1	cps_K2	cps_K5	cps_K20	cps_K54	cps_K64	prophage_Mu	prophage_P2	prophage_lambda	prophage_HK97	prophage_Sf6	prophage_T1	orf_hypo_1	orf_hypo_2
Kpn_L1_08	3	2	3	4	3	1	0	1	0	0	0	1	0	0	0	1	0	0
Kpn_L1_09	4	3	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Kpn_L1_04	4	3	4	1	4	0	0	0	0	0	0	0	0	0	1	0	1	0
Kpn_L1_05	4	3	3	4	4	0	0	0	1	0	0	0	0	0	0		0	0
Kpn_L1_01	3	3	4	3	4	0	0	0	1	0	4	0	0	0	0	1	1	0
Kpn_L1_06	3	4	3	4	4	0	1	0	0	0	1	0	0	0	0	0	0	0
Kpn_L1_10	3	4	4	4	4	0	0	0	0	0	0	0	2	0	0	0	3	1
Kpn_L1_03	3	4	4	3	2	0	1	0	0	2	0	0	0	0	0	0	0	0
Kpn_L1_07	4	4	4	4	4	0	1	0		0	0	0	0	0	0	0	0	0
Kpn_L1_02	3	2	4	4	4	0	0	0	0	0	3	0	0	0	0	0	0	0
Eco_L2_06	4	4	4	4	0	4	0	0	0	0	0		0	0	0	0	0	0
Eco_L2_09	4	4	4	4	0	4	0	0	0	0	0	0	0	0		0	0	0
Eco_L2_02	3	4	4	3	0	4	0	0	0	0	0	4	0	0	0	0	0	0
Eco_L2_04	4	4	4	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Eco_L2_07	4	3	4	4	0	4	0	0	0	0	0	0	0	1	0	0	0	0
Eco_L2_01	4	4	3	4	0	4	0	0	0	0	0	4	0	0	0	0		0
Eco_L2_08	4	4	3	4	0	4	0		0		0	0	0	0		0	0	0
Eco_L2_03	4	4	3	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0
Eco_L2_05	2	4	2	3	0	4	0	0	0	0	0	0	0	0	0	0	0	1
Ecl_L3_07	4	4	4	4	1	0	4	1	0	0	0	0	0	0	0	0	0	0
Ecl_L3_04	4	3	3	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Ecl_L3_02	3	4	4	2	0	0	4	1	1	0	0	0	3	0	0	0	0	0
Ecl_L3_03	3	4	3	4	0	0	4	0	0	0	0	0	0	0	0	1	0	
Ecl_L3_06	4	4	4	4	1	0	1	2	0	0	0	0	0	0	0	0	0	0
Ecl_L3_01	4	2	4	3	0	1	4	0	0	0	0	0	3	0	0		0	0
Ecl_L3_09	3	3	4	4	0	0	4	0	0	0	0	0	0		0	0	0	0
Ecl_L3_05	3	4	4	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Ecl_L3_08	4	4	4	4	0	0	4	1	0	0	0	0		0	0	0	0	0
Cfr_L4_01	4	4	4	3		0	1	4		0	0	0	0	4	0	0	0	0
Cfr_L4_06	4	1	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Cfr_L4_07	4	2	4	4	1	0	0	4	1	0	0	0	0	0	0	0	0	0
Cfr_L4_03	4	3	4	4	0	0	0	4	0	0	0	1	0	0	0	0	0	0
Cfr_L4_02	4	3	4	3	0	0	0	3	0	0	0	0	0	2	0	0	0	0
Cfr_L4_05	4	3	4	4	0	0	0	4	0	0	0	0	0	0		0	0	0
Cfr_L4_04	4	4	3	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Cfr_L4_08	4	4	4	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Sen_L5_03	3	4	3	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Sen_L5_07	3	4	4	3	0	0	0	0	3	0	0	0	0	0	0	1	0	0
Sen_L5_06	3	4	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Sen_L5_04	4	4	4	4	0	0	0	0	3	0	0	0	0	0	1	0	0	0
Sen_L5_05	4	4	3	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Sen_L5_01	4	4	3	4	0	0	0	0	4	0	0	0	0	0	4	0	1	0
Sen_L5_02	4	2	4	3	0	0	0	0	3	0	0	0	0	0	4	0	1	0
Sma_L6_07	4	3	4	4	0	0	0	0	0	2	0	0	0	0	2	0	0	4
Sma_L6_02	4	4	2	4	0	0	0	0	0	4	0	0	0	0	1	4	0	0
Sma_L6_04	3	2	4	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0
Sma_L6_03	4	4	4	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Sma_L6_06	4	2	3	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Sma_L6_01	4	4	4	2	0	0	0	0	0	4	0	0	0	0	0	4	0	0
Sma_L6_05	4	2	4	4	1	0	0	0	0	4	0	1	0	0	0	0	0	0
