strain	rpoB	gyrA	dnaK	recA	groEL	ftsZ	atpD	infB	blaTEM	blaCTX-M	tetM	vanA	mecA	aac6-Ib	sul1	qnrS	mcr-1	ermB	catA1	dfrA17	strA	aadA1	oqxAB	intI1	tnpA	IS26	traJ	repA	mobA	virB4	tra8	cbaABC	pks_island	clbB	ybtS	iroN	hyp_0417	hyp_1132	divergent_ompK	pseudo_fimH
Kpne_A27	4	4	3	2	3	4	3	4	0	1	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	3	2	0	1	0	4	1	1	0	0	0	1	1	0	2
Kleb_pneu_isolate_014	3	4	4	2	4	4	4	4	0	0	0	0	2	0		0	1	4	0	0	0	0	0	0	3	4	4	0	4	4	2	0	0	0	0	0	0	1	1	1
Kpne_ST11_13		4	4			4	4		0	0									0	1	1			4	2							0			1		2		2	0
Kpne_A09	4	3	1	4	3	0	4	2	0	0	1	0	1	0		0	1	4	0	0	0	2	2	1	4	3	4	3	1	0	0	1	0	0	2	0	1	2	2	0
Kpne_A03	3	2	2	3	4	4	4	4	0	0	1	0	0	0	0	0	0	4	4	1		0	0	0	0	0	1	3	0	4	0		1	1	0	0	0	0		1
Kpne_ST11_01	3	4	4	4	2	4	3	3	0	0	0	2	0			0	0	4	1	1	2	0	0	0	4	0	0	0	1	0	0	0		0	0	1	1	0	2	1
Kleb_pneu_isolate_002	4	2	4	4	3	4	3	4	2	0	1	2	1	0	1		0	4	0	0	0	0	0	2	0	0	0	4	4	0	0	1	0	2	2	0	2	1	0	0
Kleb_pneu_isolate_026	4	4	2	3	4	2	3		0	0	0		0	0	0	0	0	4	1	0	0	0	0	4	2	1	1	0	0	0	0	0	3	0	0	0	2	1	2	0
Kpne_A24	4	4	4	2		4	4	4	0	0	0	0	1	0	0	0	3	3	0	0	0	0	0	4	2	0	0	0	0	2	1	0		1	0	0	1	1	0	1
Kpne_A21	4	4	3	4	4	4	3	4	1	0	0	0	0	1	0	0	1	4	0	1	0	0	1	3	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0
Kleb_pneu_isolate_020	1	4	2	4	4	4	4	4	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	4	4	4	2	0	4	0	0	0	0		1	0	3	1	1	1
Kleb_pneu_isolate_008	2	4	0	4	4	4		2	2	1	0	1	0	0	0	1	0	4	0	0	1	0	0	0	0	1	3	0	4		0	0	0	0	0	0	0	0	2	1
Kpne_ST11_28	4	4	3	4	3	4	4	4	1	0	0	2	1	1	0	1	0	2	0	0	0	0	0	4	3	0	3	0	0	0	0	1	0	0	0	0	2	0	0	1
